Time,A,B,C,D,Out
973,-0.9921,-0.7247,0.7189,-1.7168,2.4357
974,-0.998,-0.8163,0.8147,-1.8144,2.6291
975,-1,-0.891,0.891,-1.891,2.782
976,-0.998,-0.9471,0.9452,-1.9451,2.8904
977,-0.9921,-0.9834,0.9757,-1.9756,2.9513
978,-0.9823,-0.9993,0.9816,-1.9816,2.9632
979,-0.9686,-0.9943,0.9631,-1.9629,2.9259
980,-0.9511,-0.9686,0.9212,-1.9196,2.8408
981,-0.9298,-0.9227,0.8579,-1.8524,2.7103
982,-0.9048,-0.8575,0.7759,-1.7624,2.5383
983,-0.8763,-0.7745,0.6787,-1.6508,2.3295
984,-0.8443,-0.6753,0.5702,-1.5197,2.0899
985,-0.809,-0.5621,0.4547,-1.3711,1.8258
986,-0.7705,-0.4371,0.3368,-1.2076,1.5444
987,-0.729,-0.303,0.2209,-1.032,1.2529
988,-0.6845,-0.1626,0.1113,-0.8472,0.9585
989,-0.6374,-0.0188,0.012,-0.6563,0.6683
990,-0.5878,0.1253,-0.0737,-0.4625,0.3888
991,-0.5358,0.2669,-0.143,-0.2689,0.1259
992,-0.4818,0.4029,-0.1941,-0.0788,-0.1153
993,-0.4258,0.5305,-0.2259,0.1047,-0.3306
994,-0.3681,0.6471,-0.2382,0.2789,-0.5171
995,-0.309,0.7501,-0.2318,0.4411,-0.6729
996,-0.2487,0.8375,-0.2083,0.5888,-0.7971
997,-0.1874,0.9075,-0.17,0.7201,-0.8901
998,-0.1253,0.9585,-0.1201,0.8332,-0.9533
999,-0.0628,0.9896,-0.0621,0.9268,-0.9889
1000,0,1,0,1,-1
